<timestamp>|<CAN_ID>|<direction>|<type>|<DLC>|<data_bytes>
503.191318|45c|Rx|d|6|00000000FFE0
503.191318|211|Rx|d|8|8200FFFFA90000D0
503.191318|214|Rx|d|2|0000
503.201417|1b0|Rx|d|4|FF00FFC0
503.213493|211|Rx|d|8|8200FFFFA90000D0
503.213493|214|Rx|d|2|0000
503.221487|1b0|Rx|d|4|FF00FFC0
503.233695|211|Rx|d|8|8200FFFFA90000D0
503.233695|214|Rx|d|2|0000
503.241635|350|Rx|d|8|C02F3AF81870A489
503.241635|1b0|Rx|d|4|FF00FFC0
503.241635|4de|Rx|d|3|C00000
503.241635|55d|Rx|d|8|00FC50C090800000
503.253807|211|Rx|d|8|8200FFFFA90000D0
503.253807|214|Rx|d|2|0000
503.253807|218|Rx|d|1|98
503.253807|4fa|Rx|d|2|0800
503.253807|671|Rx|d|2|0200
503.261803|1b0|Rx|d|4|FF00FFC0
503.261803|5de|Rx|d|8|0000000000000002
503.263802|4f8|Rx|d|8|94C0000000000000
503.273000|5df|Rx|d|3|009500
503.273000|211|Rx|d|8|8200FFFFA90000D0
503.273000|214|Rx|d|2|0000
503.283197|1b0|Rx|d|4|FF00FFC0
503.283197|657|Rx|d|2|C0CC
503.283197|3b7|Rx|d|6|00007FC000C0
503.291288|4ac|Rx|d|5|83742A0080
503.291288|45c|Rx|d|6|00000000FFE0
503.293286|211|Rx|d|8|8200FFFFA90000D0
503.293286|214|Rx|d|2|0000
503.301282|1b0|Rx|d|4|FF00FFC0
503.313274|211|Rx|d|8|8200FFFFA90000D0
503.313274|214|Rx|d|2|0000
503.321454|1b0|Rx|d|4|FF00FFC0
503.333524|211|Rx|d|8|8200FFFFA90000D0
503.333524|214|Rx|d|2|0000
503.341520|350|Rx|d|8|C02F3AF81870A489
503.341520|1b0|Rx|d|4|FF00FFC0
503.341520|4de|Rx|d|3|C00000
503.341520|55d|Rx|d|8|00FC50C090800000
503.353300|211|Rx|d|8|8200FFFFA90000D0
503.353300|214|Rx|d|2|0000
503.353300|218|Rx|d|1|98
503.353300|4fa|Rx|d|2|0800
503.353300|671|Rx|d|2|0200
503.361637|1b0|Rx|d|4|FF00FFC0
503.361637|5de|Rx|d|8|0000000000000002
503.361637|4f8|Rx|d|8|94C0000000000000
503.371241|5df|Rx|d|3|009500
503.371241|211|Rx|d|8|8200FFFFA90000D0
503.371241|214|Rx|d|2|0000
503.381234|1b0|Rx|d|4|FF00FFC0
503.381234|657|Rx|d|2|C0CC
503.383232|3b7|Rx|d|6|00007FC000C0
503.391422|4ac|Rx|d|5|83742A0080
503.391422|45c|Rx|d|6|00000000FFE0
503.393425|211|Rx|d|8|8200FFFFA90000D0
503.393425|214|Rx|d|2|0000
503.401555|1b0|Rx|d|4|FF00FFC0
503.413547|211|Rx|d|8|8200FFFFA90000D0
503.413547|214|Rx|d|2|0000
503.421542|1b0|Rx|d|4|FF00FFC0
503.433536|211|Rx|d|8|8200FFFFA90000D0
503.433536|214|Rx|d|2|0000
503.441531|350|Rx|d|8|C02F3AF81870A489
503.441531|1b0|Rx|d|4|FF00FFC0
503.441531|4de|Rx|d|3|C00000
503.441531|55d|Rx|d|8|00FC50C090800000
503.453522|211|Rx|d|8|8200FFFFA90000D0
503.453522|214|Rx|d|2|0000
503.453522|218|Rx|d|1|98
503.453522|4fa|Rx|d|2|0800
503.453522|671|Rx|d|2|0200
503.461518|1b0|Rx|d|4|FF00FFC0
503.461518|5de|Rx|d|8|0000000000000002
503.463517|4f8|Rx|d|8|94C0000000000000
503.471512|5df|Rx|d|3|009500
503.471512|211|Rx|d|8|8200FFFFA90000D0
503.471512|214|Rx|d|2|0000
503.481505|1b0|Rx|d|4|FF00FFC0
503.481505|657|Rx|d|2|C0CC
503.481505|3b7|Rx|d|6|00007FC000C0
503.491499|4ac|Rx|d|5|83742A0080
503.491499|45c|Rx|d|6|00000000FFE0
503.491499|211|Rx|d|8|8200FFFFA90000D0
503.491499|214|Rx|d|2|0000
503.491499|646|Rx|d|8|000000020000000C
503.501493|1b0|Rx|d|4|FF00FFC0
503.513550|211|Rx|d|8|8200FFFFA90000D0
503.513550|214|Rx|d|2|0000
503.521738|1b0|Rx|d|4|FF00FFC0
503.533731|211|Rx|d|8|8200FFFFA90000D0
503.533731|214|Rx|d|2|0000
503.541729|350|Rx|d|8|C02F3AF81870A489
503.541729|1b0|Rx|d|4|FF00FFC0
503.541729|4de|Rx|d|3|C00000
503.541729|55d|Rx|d|8|00FC50C090800000
503.552894|211|Rx|d|8|8200FFFFA90000D0
503.552894|214|Rx|d|2|0000
503.554981|218|Rx|d|1|98
503.554981|4fa|Rx|d|2|0800
503.554981|671|Rx|d|2|0200
503.561077|1b0|Rx|d|4|FF00FFC0
503.563077|5de|Rx|d|8|0000000000000002
503.565074|4f8|Rx|d|8|94C0000000000000
503.571070|5df|Rx|d|3|009500
503.571070|211|Rx|d|8|8200FFFFA90000D0
503.571070|214|Rx|d|2|0000
503.581064|1b0|Rx|d|4|FF00FFC0
503.581064|657|Rx|d|2|C0CC
503.581064|3b7|Rx|d|6|00007FC000C0
503.591058|4ac|Rx|d|5|83742A0080
503.591058|45c|Rx|d|6|00000000FFE0
503.591058|211|Rx|d|8|8200FFFFA90000D0
503.591058|214|Rx|d|2|0000
503.601158|1b0|Rx|d|4|FF00FFC0
503.613236|211|Rx|d|8|8200FFFFA90000D0
503.613236|214|Rx|d|2|0000
503.621231|1b0|Rx|d|4|FF00FFC0
503.633318|211|Rx|d|8|8200FFFFA90000D0
503.633318|214|Rx|d|2|0000
503.641395|350|Rx|d|8|C02F3AF81870A489
503.641395|1b0|Rx|d|4|FF00FFC0
503.641395|4de|Rx|d|3|C00000
503.641395|55d|Rx|d|8|00FC50C090800000
503.653387|211|Rx|d|8|8200FFFFA90000D0
503.653387|214|Rx|d|2|0000
503.653387|218|Rx|d|1|98
503.653387|4fa|Rx|d|2|0800
503.653387|671|Rx|d|2|0200
503.661382|1b0|Rx|d|4|FF00FFC0
503.661382|5de|Rx|d|8|0000000000000002
503.664380|4f8|Rx|d|8|94C0000000000000
503.670377|5df|Rx|d|3|009500
503.670377|211|Rx|d|8|8200FFFFA90000D0
503.670377|214|Rx|d|2|0000
503.680371|1b0|Rx|d|4|FF00FFC0
503.680371|657|Rx|d|2|C0CC
503.686367|3b7|Rx|d|6|00007FC000C0
503.692363|4ac|Rx|d|5|83742A0080
503.692363|45c|Rx|d|6|00000000FFE0
503.692363|211|Rx|d|8|8200FFFFA90000D0
503.692363|214|Rx|d|2|0000
503.700358|1b0|Rx|d|4|FF00FFC0
503.712351|211|Rx|d|8|8200FFFFA90000D0
503.712351|214|Rx|d|2|0000
503.720346|1b0|Rx|d|4|FF00FFC0
503.732339|211|Rx|d|8|8200FFFFA90000D0
503.732339|214|Rx|d|2|0000
503.740334|350|Rx|d|8|C02F3AF81870A489
503.740334|1b0|Rx|d|4|FF00FFC0
503.740334|4de|Rx|d|3|C00000
503.740334|55d|Rx|d|8|00FC50C090800000
503.752468|211|Rx|d|8|8200FFFFA90000D0
503.752468|214|Rx|d|2|0000
503.752468|218|Rx|d|1|98
503.752468|4fa|Rx|d|2|0800
503.752468|671|Rx|d|2|0200
503.760464|1b0|Rx|d|4|FF00FFC0
503.760464|5de|Rx|d|8|0000000000000002
503.764461|4f8|Rx|d|8|94C0000000000000
503.770457|5df|Rx|d|3|009500
503.770457|211|Rx|d|8|8200FFFFA90000D0
503.770457|214|Rx|d|2|0000
503.780452|1b0|Rx|d|4|FF00FFC0
503.780452|657|Rx|d|2|C0CC
503.786547|3b7|Rx|d|6|00007FC000C0
503.792543|4ac|Rx|d|5|83742A0080
503.792543|45c|Rx|d|6|00000000FFE0
503.792543|211|Rx|d|8|8200FFFFA90000D0
503.792543|214|Rx|d|2|0000
503.800538|1b0|Rx|d|4|FF00FFC0
503.812533|211|Rx|d|8|8200FFFFA90000D0
503.812533|214|Rx|d|2|0000
503.820711|1b0|Rx|d|4|FF00FFC0
503.832777|211|Rx|d|8|8200FFFFA90000D0
503.832777|214|Rx|d|2|0000
503.840772|350|Rx|d|8|C02F3AF81870A489
503.840772|1b0|Rx|d|4|FF00FFC0
503.840772|4de|Rx|d|3|C00000
503.840772|55d|Rx|d|8|00FC50C090800000
503.852765|211|Rx|d|8|8200FFFFA90000D0
503.852765|214|Rx|d|2|0000
503.852765|218|Rx|d|1|98
503.852765|4fa|Rx|d|2|0800
503.852765|671|Rx|d|2|0200
503.860760|1b0|Rx|d|4|FF00FFC0
503.860760|5de|Rx|d|8|0000000000000002
503.864758|4f8|Rx|d|8|94C0000000000000
503.870754|5df|Rx|d|3|009500
503.870754|211|Rx|d|8|8200FFFFA90000D0
503.870754|214|Rx|d|2|0000
503.880748|1b0|Rx|d|4|FF00FFC0
503.880748|657|Rx|d|2|C0CC
503.886744|3b7|Rx|d|6|00007FC000C0
503.892741|4ac|Rx|d|5|83742A0080
503.894740|45c|Rx|d|6|00000000FFE0
503.894740|211|Rx|d|8|8200FFFFA90000D0
503.894740|214|Rx|d|2|0000
