LogEntrySeconds,Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Положение педали газа ( %),Положение дроссельной заслонки ( %),Скорость автомобиля ( км/час),Флаг нажатия педали сцепления (-),Величина отскока УОЗ при детонации ( °ПКВ),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-)
46,32.25,1215.0,1210.0,3.75,4.09,0.96,0.0,6.01,0.0,0.0,0.0,,,,
46,32.25,1214.0,1210.0,5.25,3.981,0.96,0.0,6.01,0.0,0.0,0.0,,,,
47,32.25,1215.0,1210.0,4.5,4.058,0.95,0.0,6.08,0.0,0.0,0.0,,,,
47,33.0,1212.0,1210.0,5.25,4.0,0.95,0.0,6.01,0.0,0.0,0.0,,,,
47,33.0,1205.0,1210.0,4.5,4.019,0.95,0.0,6.01,0.0,0.0,0.0,,,,
50,33.0,1203.0,1210.0,4.5,3.821,0.92,0.0,5.93,0.0,0.0,0.0,,,,
50,33.0,1201.0,1210.0,4.5,3.744,0.92,0.0,6.01,0.0,0.0,0.0,,,,
51,33.75,1197.0,1210.0,6.75,3.699,0.9,0.0,5.93,0.0,0.0,0.0,,,,
51,33.75,1192.0,1210.0,5.25,3.61,0.81,0.0,6.01,0.0,0.0,0.0,,,,
52,33.75,1189.0,1210.0,6.75,4.083,0.18,0.0,6.45,0.0,0.0,0.0,,,,
52,33.75,1196.0,1210.0,3.75,4.23,0.67,0.0,6.32,0.0,0.0,0.0,,,,
53,33.75,1194.0,1200.0,6.0,3.981,0.89,0.0,6.32,0.0,0.0,0.0,,,,
53,33.75,1188.0,1200.0,4.5,3.904,0.84,0.0,6.32,0.0,0.0,0.0,,,,
53,33.75,1194.0,1200.0,6.0,3.981,0.18,0.0,6.37,0.0,0.0,0.0,,,,
54,33.75,1197.0,1200.0,3.75,4.09,0.22,0.0,6.37,0.0,0.0,0.0,,,,
54,34.5,1199.0,1200.0,3.75,3.923,0.79,0.0,6.32,0.0,0.0,0.0,,,,
55,34.5,1191.0,1200.0,8.25,4.051,0.2,0.0,6.37,0.0,0.0,0.0,,,,
56,34.5,1203.0,1200.0,1.5,4.019,0.81,0.0,6.32,0.0,0.0,0.0,,,,
56,34.5,1195.0,1200.0,4.5,3.859,0.21,0.0,6.32,0.0,0.0,0.0,,,,
56,34.5,1199.0,1200.0,4.5,3.955,0.32,0.0,6.32,0.0,0.0,0.0,,,,
57,34.5,1193.0,1200.0,9.0,3.936,0.81,0.0,6.32,0.0,0.0,0.0,,,,
57,34.5,1200.0,1200.0,8.25,3.853,0.2,0.0,6.2,0.0,0.0,0.0,,,,
57,34.5,1202.0,1200.0,2.25,4.013,0.65,0.0,6.2,0.0,0.0,0.0,,,,
58,35.25,1204.0,1200.0,7.5,3.616,0.84,0.0,6.08,0.0,0.0,0.0,,,,
58,35.25,1192.0,1200.0,5.25,3.744,0.19,0.0,6.08,0.0,0.0,0.0,,,,
59,35.25,1204.0,1200.0,2.25,3.814,0.19,0.0,5.93,0.0,0.0,0.0,,,,
59,35.25,1200.0,1200.0,3.75,3.859,0.58,0.0,5.93,0.0,0.0,0.0,,,,
59,35.25,1198.0,1200.0,6.75,3.693,0.86,0.0,5.93,0.0,0.0,0.0,,,,
60,35.25,1197.0,1200.0,8.25,3.629,0.84,0.0,5.93,0.0,0.0,0.0,,,,
