LogEntrySeconds,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Напряжение датчика кислорода 2 ( В),Положение дроссельной заслонки ( %),Величина отскока УОЗ при детонации ( °ПКВ)
75,14.0,38.25,977.0,980.0,5.25,3.872,0.22,0.52,4.98,0.0
75,14.0,38.25,984.0,980.0,2.25,3.878,0.75,0.52,4.91,0.0
76,14.1,38.25,973.0,980.0,6.75,3.853,0.85,0.51,4.98,0.0
76,14.1,38.25,977.0,980.0,8.25,3.77,0.77,0.51,4.98,0.0
76,14.0,38.25,980.0,980.0,6.0,3.859,0.19,0.52,4.98,0.0
77,14.0,38.25,985.0,980.0,0.75,3.962,0.25,0.52,4.98,0.0
77,14.0,38.25,981.0,980.0,1.5,3.827,0.84,0.51,4.98,0.0
78,14.0,39.0,975.0,980.0,8.25,3.776,0.8,0.52,4.98,0.0
80,14.0,39.0,982.0,980.0,3.0,3.84,0.8,0.52,4.98,0.0
80,14.0,39.0,974.0,980.0,4.5,3.802,0.86,0.52,4.98,0.0
81,14.1,39.0,970.0,980.0,8.25,3.763,0.22,0.52,4.98,0.0
81,14.1,39.75,975.0,980.0,1.5,3.866,0.2,0.52,4.98,0.0
82,14.1,39.75,984.0,980.0,0.75,3.898,0.26,0.51,4.91,0.0
84,14.1,39.75,976.0,970.0,2.25,3.872,0.21,0.52,4.98,0.0
85,14.1,39.75,977.0,970.0,3.0,3.808,0.83,0.52,4.91,0.0
85,14.1,40.5,970.0,970.0,9.0,3.821,0.2,0.52,4.98,0.0
86,14.0,40.5,975.0,970.0,7.5,3.846,0.2,0.52,4.98,0.0
86,14.1,40.5,980.0,970.0,3.75,3.84,0.84,0.52,4.91,0.0
87,14.0,40.5,977.0,970.0,7.5,3.763,0.85,0.52,4.91,0.0
87,14.0,40.5,972.0,970.0,0.0,3.802,0.19,0.52,4.86,0.0
88,14.1,40.5,977.0,970.0,1.5,3.814,0.22,0.52,4.86,0.0
88,14.0,40.5,976.0,970.0,2.25,3.731,0.83,0.51,4.86,0.0
89,14.1,40.5,970.0,970.0,0.75,3.776,0.63,0.52,4.86,0.0
89,14.0,41.25,979.0,970.0,3.0,3.846,0.22,0.52,4.91,0.0
90,14.0,41.25,969.0,970.0,8.25,3.75,0.86,0.51,4.86,0.0
90,14.0,41.25,964.0,970.0,4.5,3.878,0.2,0.52,4.91,0.0
91,14.0,41.25,969.0,970.0,6.0,3.859,0.45,0.52,4.86,0.0
91,14.0,41.25,977.0,970.0,6.75,3.77,0.85,0.52,4.86,0.0
92,14.0,41.25,962.0,960.0,9.75,3.744,0.44,0.52,4.86,0.0
92,14.1,41.25,968.0,960.0,1.5,3.878,0.23,0.52,4.86,0.0
92,14.0,41.25,963.0,960.0,9.0,3.77,0.3,0.52,4.86,0.0
